plate_no,owner_name,owner_zip,on_production_date,next_exam_dt,txn_name
ATK-3538,臺北市私立巨勝幼兒園,100,201705,20250622,外站新領
BEJ-1662,臺北市私立乖乖幼兒園,100,201910,20250428,本區新領
BJW-7330,臺北市私立何嘉仁臨沂幼兒園,100,202010,20251022,本區新領
BQS-5772,財團法人台北市私立強恕高級中學附設臺北市私立幼兒園,100,202208,20250812,本區新領
BA-499,私立新民小學,100,198801,19980813,一般報廢
101-1042,私立乖乖幼稚園,100,198501,19890111,逕行註銷
AL-0290,私立新民小學,100,198504,19940515,一般報廢
110-4509,幼華幼稚園,100,198200,19910528,繳銷
110-4511,幼華幼雅園,100,198200,19910528,繳銷
110-4510,幼華幼稚園,100,198200,19910528,繳銷
114-9092,台北市私立侑兒托兒所,100,197900,19881207,繳銷
118-0123,乖乖幼稚園,100,198100,19890225,一般報廢
AT-5891,聯華幼稚園,100,198603,19951030,繳銷
AT-5892,聯華幼稚園,100,198603,19940430,繳銷
AT-5893,聯華幼稚園,100,198603,19950430,繳銷
AT-5890,聯華幼稚園,100,198603,19940430,繳銷
BE-1739,私立佳禾幼稚園,100,198400,19950619,一般報廢
123-4568,好兒童書城,100,198200,19890403,繳銷
120-3816,台北市私立乖乖幼稚園,100,198605,19900610,一般報廢
125-0005,好兒童書城,100,198200,19890429,繳銷
BC-1615,台北市私立怡興托兒所,100,198609,19950504,一般報廢
BC-1617,台北市私立怡興托兒所,100,198903,19980904,一般報廢
146-1162,私立乖乖幼稚園,100,198903,19920526,逕行註銷
AT-5896,聯華幼稚園,100,199104,20010426,繳銷
AW-0822,私立懷恩幼稚園,100,199107,20010807,停駛轉報廢
AD-3640,北市中華基督教青年會永吉幼兒園,100,199203,20000408,一般報廢
AF-0780,侑兒托兒所,100,199206,19970623,主體不存在逕行註銷
AF-0781,侑兒托兒所,100,199206,19970623,主體不存在逕行註銷
BM-2873,私立強恕高級中學附設幼兒園,100,199307,20030911,繳銷
BM-2875,私立強恕高級中學附設幼兒園,100,199308,19990911,停駛逾期逕行註銷
BU-0021,台北市私立奧爾仕托兒所,100,199406,20050112,繳銷轉報廢
BX-8550,台北市私立侑兒托兒所,100,199411,19981130,主體不存在逕行註銷
CJ-9412,台北市私立侑兒托兒所,100,199605,19990522,主體不存在逕行註銷
CJ-9620,台北市私立侑兒托兒所,100,199605,19990523,主體不存在逕行註銷
AAA-3183,財團法人臺北市私立強恕高級中學附設臺北市私立幼兒園,100,201212,20221224,一般報廢
279-0822,私立德星幼稚園,103,198100,19920130,繳銷
AJJ-6522,財團法人天主教會台北教區附設臺北市私立聖心幼兒園,103,201511,20250621,外區新領
BFW-1390,臺北市私立功文成長幼兒園,103,202005,20250518,外站新領
BKJ-3930,財團法人陳德星堂附設臺北市私立德星幼兒園,103,202105,20250526,本區新領
BG-0762,台北市私立慧愛幼稚園,103,198500,19941218,牌回未辦轉報廢
234-9362,愛光幼稚園,103,198200,19900727,拒不過戶註銷
231-8880,台北市私立大同幼稚園,103,198605,19931227,繳銷
BG-0761,台北市私立慧愛幼稚園,103,199103,19970325,一般報廢
CD-3229,台北市私立榮星幼兒園,103,199504,20050508,繳銷
CV-3972,愛光幼稚園,103,199707,20070822,繳銷
Q2-4520,台北市私立甜甜屋幼兒園,103,199804,20080528,一般報廢
ANM-7362,臺北市私立大直嘉蒔幼兒園,104,201508,20250321,外站新領
ARL-5377,臺北市私立新生幼兒園,104,201610,20250509,本區新領
9130-QK,台北市私立新生幼兒園,104,200706,20170626,一般報廢
9266-QV,臺北市私立建國幼兒園,104,200807,20180714,一般報廢
ARE-7536,臺北市私立立興幼兒園,104,201603,20250330,本區新領
ATB-3297,臺北市私立新生幼兒園,104,201703,20250427,本區新領
ATG-5691,臺北市私立喬幼國際幼兒園,104,201708,20250319,本區新領
AXD-9879,臺北市私立建國幼兒園,104,201805,20250528,本區新領
AXD-9878,臺北市私立建國幼兒園,104,201805,20250528,本區新領
BBF-6903,臺北市私立嘉霖幼兒園,104,201905,20250527,本區新領
AXS-9533,臺北市私立科見幼兒園,104,202009,20250923,本區新領
BJW-7332,臺北市私立嘉霖幼兒園,104,202010,20251022,本區新領
BBP-6303,臺北市私立科見幼兒園,104,202109,20250922,本區新領
BBP-6635,臺北市私立河岸小百合蒙特梭利幼兒園,104,202109,20250923,本區新領
BBP-8715,實踐大學附設臺北市私立幼兒園,104,202109,20250928,本區新領
BKV-3620,實踐大學附設臺北市私立幼兒園,104,202110,20251014,本區新領
BKX-9217,臺北市私立松江蒙特梭利幼兒園,104,202401,20260109,本區新領
BQK-5603,臺北市私立大直嘉蒔幼兒園,104,202401,20260123,外站新領
276-3559,幼華幼稚園,104,198000,19900714,繳銷
AM-3020,聖華幼稚園,104,198505,19960109,繳銷
AM-3032,聖華幼稚園,104,198505,19930709,繳銷
104-7143,私立正光幼稚園,104,198506,19920826,一般報廢
AJ-8150,私立惠元幼稚園,104,198407,19940325,繳銷
110-4500,幼華幼稚園,104,198100,19910516,繳銷
110-4529,私立文華幼稚園,104,198200,19911220,繳銷
110-4506,幼華幼稚園,104,198200,19910408,繳銷
110-4532,私立文華幼稚園,104,198200,19910621,繳銷
110-4493,台北市私立幼華幼稚園,104,198100,19890227,繳銷
110-4531,私立文華幼稚園,104,198200,19910620,繳銷
110-4519,台北市私立光華幼稚園,104,198300,19910825,繳銷
